店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
创元千禧大酒店 · 自助西餐厅,42279933,综合自助,,0,,3.6,109,129,万达广场,1186,25.716153,119.35319,福清市清昌大道101创元千禧大酒店内（靠近新人民法院）,,,免费提供100个停车位,单人午餐129元，单人晚餐189元;,周一至周日 09:00-21:00,0591-22162909,113108,,,False,0,451,113108,True,False
丽景假日大酒店中餐厅,830524,福州菜,丽景假日大酒店,151868,http://p0.meituan.net/poi/4be747d666d3886c548e15de37d6ca6a84455.png,4.2,115,1188,省体/湖前,95,26.116401,119.298947,鼓楼区福飞南路湖前综合大楼（米罗街对面，湖前站下车即是）,,,免费提供30个停车位,10人餐1188元;,周一至周日 11:00-13:30 17:00-21:30,0591-87736688,111347,福建丽景假日大酒店位于福州繁华的福飞路上，交通便利、清幽恬静、瑰丽多姿、宏伟气派。往福州长乐国际机场30分钟的车程，到达福州火车站仅5分钟的车程。2011年来投入巨资以超星级的标准改造装修，现已面貌一新地呈现于人们视野之中。酒店拥有近百间各类客房，设有中央空调系统、国际卫星接收系统及客房直拨国际长途电话，店内有商务中心、便利店、商场等配套服务场所。还拥有设备先进各具特色的中餐厅、商务餐厅、自助餐、茶艺居、多功能厅等设施，是一座融食、宿、游、购、娱为一体的综合性酒店。酒店一楼的丽晶西餐厅环境高雅，您可以在这里品尝到由经验丰富的厨师巧手烹制的东南亚风味海鲜自助大餐！,,False,0,2,111347,True,False
福州富力威斯汀酒店中国元素餐厅,842784,粤菜,福州万达威斯汀酒店,854464,http://p0.meituan.net/poi/7075b5e4d6b26651dc34184a2a4dc4e167485.png,4.8,197,138,台江万达,97,26.051162,119.342407,台江区江滨中大道366号富力威斯汀酒店5楼,1,,,单人午餐138元，8-10人餐2588元;,周一至周日 11:00-14:00 17:00-21:00,0591-88357223,103912,福州万达威斯汀酒店，坐落于闽江河畔，是喜达屋酒店与度假村国际集团经营管理的酒店。酒店拥有305间客房多种房型，配备天梦之床等人性化设计，宽大舒适的空间，无不让您重焕活力；7个会议室3个宴会大厅酒店可以提供总面积2639平方米的灵活多变的会议空间，能满足各类型的会议和宴会需求；大堂吧、知味餐厅、中国元素提供时尚而不失传统精髓的“Superfood”活力食品，将为您开启活色生香的环球饕餮之旅。,,False,0,27,103912,True,False
夏维夷自助火锅烧烤(晋安店),69456026,综合自助,,0,,3.4,57,53,福新路,96,26.08204,119.32646,晋安区福新中路家乐福购物中心负一楼（中兴电影院隔壁）,,"5305,",免费提供20个停车位,单人午餐53元，单人晚餐63.9元;,周一至周日 11:00-15:00 17:00-22:00,0591-87551088/17750402117,103362,,,False,0,438,103362,True,False
福清牛太郎自助烧烤(裕荣汇店),42074131,烤肉自助,,0,,4,57,57.8,裕荣汇,1186,25.721616,119.35194,福清市福和路裕荣汇购物中心四楼（两馆一中心旁边）,4,,,单人午餐57.8元，单人晚餐67.6元;,周一至周日 10:00-21:00,0591-85276709,95758,“比较实在”的烧烤。有不同价位的自助套餐可选，肉质“不错”，味道也“好”。适合“大肚皮男生”“想开荤的时候杀过去”饱餐一顿。可惜餐厅“通风不行”，“一边吃一边被油烟熏着”，“回家全身上下的衣服都得换光”。,,False,0,221,95758,True,False
鲜芋仙(元洪店),4969709,港台甜品,,0,,3.9,19,13.5,台江广场/元洪城,97,26.052566,119.316068,台江区台江路95号东百元洪购物广场负一层,-1,"4279,",,13.5元原味紫米粥，19.5元鲜芋仙单人餐[复制][复制]，21.5元鲜芋仙单人餐[复制][复制]，40元鲜芋仙双人餐[复制][复制];45代50元;,周一至周日 10:00-22:30,0591-83201611,94803,鲜芋仙是来自台湾，在上海、厦门、福州有多家分店。新鲜、现做、现煮、现卖，提供最优质的甜品与养生盛品，是鲜芋仙甜品专卖的开店理念。在优雅不失时尚风的现代感店内用餐，享受著勾起童时怀念味道的甜品，如同店名鲜芋仙般的幸福。主要是由芋圆，仙草和红豆牛奶组成，味道润滑细嫩，口味非常独特,,False,1,89,94803,True,False
汉拿山(仓山万达店),87628,韩式烤肉,汉拿山,25856,http://p0.meituan.net/poi/2c0577def9e51d5dbb131e5d8fcf419a54667.png,3.9,97,39.9,仓山万达广场,98,26.035568,119.272689,仓山区浦上大道276号万达广场3层,3,,,双人餐158元起，4人餐322元起;39.9代50元，89代100元;,周一至周日 10:30-22:00  2019-02-04 10:00-17:00,0591-88257002,94406,汉拿山韩式烤肉，提供新鲜肉类，爽口青菜，并为不同的烧烤精心配制不同酱汁，让尝过的人都赞不绝口。走进店内，古朴的色调，现代的配饰，明亮的落地窗，烘托出浪漫的气氛，温馨、简约、时尚的风格，让人感受优质一餐。,,False,1,50,94406,True,False
蜀九香(金福大厦店),5144688,四川火锅,,0,,4.1,148,82,五一广场/古田路,95,26.075161,119.304236,鼓楼区新权南路12号金福商厦2楼（香格里拉斜对面）,2,"5301,4282,4277,5307,",,2-3人餐277元，4人餐436元;82代100元，88代100元;,周一至周日 11:30-03:00,0591-38290888/86291771,93283,,,False,0,202,93283,True,False
小鱼小牛时尚欢乐餐厅(元洪城店),6172943,鱼火锅,小鱼小牛,1332998,http://p0.meituan.net/poi/6767f0fe23f9c1687e3063fd0d1155ee26895.png,4.7,82,93,台江广场/元洪城,97,26.052604,119.317098,台江区台江路95号元洪商场第四层4F-T03商铺,4,"4279,",,每满100减5（买单立享）;双人餐129元，3人餐198元，4人餐268元，5-6人餐398元，8人餐498元;93代100元;,周一至周日 10:00-21:00,0591-83502070,90220,小鱼小牛时尚欢乐餐厅是福州新界餐饮管理有限公司继“揽季锅物会”之后推出的又一新晋品牌。餐厅主推各式干锅、火锅，力求通过上选食材和精心调制，带给顾客一个愉快的用餐体验。让本店的美食魅惑您的味蕾，一起感受小鱼和小牛的故事。 “小鱼小牛时尚欢乐餐厅”期望营造一个“时尚、欢乐”氛围的互动性餐厅。让温暖的柔光飘洒在每个餐桌上，来宣告您就是主角。,,False,1,140,90220,True,False
金太郎韩式自助烤肉火锅(台江万达店),6928917,烤肉自助,,0,,3.5,53,52.9,台江万达,97,26.052772,119.342186,台江区鳌江路台江万达广场金街2楼万达广场街2F-85号（3号门向阳坊楼上）,2,,,单人午餐52.9元，单人晚餐59.9元;,周一至周日 09:00-22:00,0591-83255386,89677,金太郎韩式自助烤肉丨火锅位于金融街万达外街2楼。店内经营自助，烤肉、火锅兼有，满足你对两者的要求！,,False,0,270,89677,True,False
盛世经典牛排(东街店),1529234,牛排,盛世经典牛排,23792,http://p0.meituan.net/poi/30ce40198634616c1a8f7d6d9909f58025230.png,3.4,53,45,左海/西湖公园,95,26.085898,119.29648,鼓楼区杨桥路24号二楼（南后街路口正对面）,,"4286,",,单人餐69.5元起，双人餐158元;45代50元;,周一至周日 09:30-22:00,0591-87556136,82699,2004年，她在福州东街绽开一段奇妙餐饮之旅，她秉承绿色健康食材理念，让都市增添一份健康活力。她默默无闻的脚步，将“健康每一天”带向中华大地每一个角落。她拥有超过100家的直营店，形成了集团化、连锁化的经营模式，她渴望健康美食成为人们生活中的息息相关。她的名字是盛世经典，一家把健康快乐的饮食文化传播给大众的企业，当您追随盛世步伐的时候，他们用经典美食触动您的味蕾。,,False,0,129,82699,True,False
57℃湘(苏宁广场店),5116090,湘菜,57度湘,36840,http://p1.meituan.net/poi/37a89794e2dd36a94ad3dc5a65e3cf0123348.png,5,84,88,苏宁广场,97,26.061966,119.286965,台江区工业路233号苏宁广场4层,4,"5311,5302,",免费提供100个停车位,双人餐168元，3人餐258元，4人餐328元，6人餐528元;88代100元;,周一至周日 11:00-21:00,0591-88505757,79513,57°C湘简约、明亮、时尚的装修风格，铁板上跳跃的美味佳肴，厨师与顾客面对面的交流沟通，真实地将日式铁板烧与传统湘菜做到了巧妙结合。57°C湘秉承“湘伴快乐，唱响中国”的理念，其创新之举得到业内广泛关注。,,False,1,76,79513,True,False
乐烧时尚自助烤肉(元洪店),4026283,综合自助,乐烧,159518,http://p0.meituan.net/poi/48d15594b91481cc3b9515a2ebcd221a100711.png,4,63,64.8,台江广场/元洪城,97,26.052524,119.316122,台江区台江路95号东100元洪购物广场5层,5,"4279,",,单人午餐64.8元，单人晚餐74.8元，[4]人午餐259元，[4]人晚餐299元;,周一至周六 11:00-22:00,0591-87565977,77876,乐烧自助烤肉是以韩式烤肉为特色菜系的自助式餐厅，囊括了精致烤肉、海鲜、蔬菜、水果自助沙拉百汇、特色主食、美味汤点、中西式甜点、多味冰激凌、凉菜等近百种的丰富菜品，更有进口美式牛羊肉等，选料考究，肉感鲜嫩多汁，营养丰富。乐烧烤肉均采用纸上烤肉配合植物性碳纤维远红外线无烟烤炉，让烤肉从内到外均匀烤熟，既嫩又有水份，**限度保持肉中蛋白质，碳水化合物等有益营养成份。加上精心调制的秘制蘸料，食而不腻，实为一种健康、美味、时尚的现代都市烧烤。,,False,0,94,77876,True,False
望蓉城·老坛酸菜鱼(世欧店),150437250,酸菜鱼/水煮鱼,,0,,4.4,78,89,世欧王庄,96,26.069887,119.326828,晋安区长乐中路世欧广场南区4楼13-15号,4,"5305,",,双人餐146元起;89代100元;,周一至周日 10:00-22:00,0591-83300039,77871,,,False,0,711,77871,True,False
牛太郎自助烤肉(爱琴海购物公园店),51096270,烤肉自助,牛太郎,787603,http://p1.meituan.net/poi/23d7ebf3650e234f3b76ddc13bbab65f40828.png,3.1,65,75.9,红星爱琴海广场,98,26.040349,119.279802,仓山区浦上大道198号爱琴海购物公园5层,5,,,单人午/晚餐75.9元起;,周一至周日 11:00-22:00,0591-83631717,76200,,,False,0,373,76200,True,False
汉拿山(台江万达店),842762,韩式烤肉,汉拿山,25856,http://p0.meituan.net/poi/2c0577def9e51d5dbb131e5d8fcf419a54667.png,3.7,96,39.9,台江万达,97,26.052899,119.34263,台江区金融街万达广场3层312-316号铺（近曙光路）,3,,,双人餐158元起，4人餐322元起;39.9代50元，95代100元;,周一至周日 10:00-22:00  2019-02-04至2019-02-10 休息,0591-88051898,75715,汉拿山韩式烤肉，提供新鲜肉类，爽口青菜，并为不同的烧烤精心配制不同酱汁，让尝过的人都赞不绝口。走进店内，古朴的色调，现代的配饰，明亮的落地窗，烘托出浪漫的气氛，温馨、简约、时尚的风格，让人感受优质一餐。,,False,1,41,75715,True,False
闽江世纪金源会展中心大饭店(汇景阁自助美食轩),6788952,海鲜自助,,0,,4,183,132,盖山,98,26.024016,119.359523,仓山区潘墩路188号（会展中心大门正对面）,,,免费提供300个停车位,单人餐132元起，单人午餐158元，单人晚餐188元，双人午餐312元，双人晚餐367元;,周一至周日 11:30-14:00 17:30-21:30,0591-88282655,70980,,,False,0,173,70980,True,False
海天盛宴海鲜自助(正大广场店),5106460,海鲜自助,海天盛宴海鲜自助餐厅,2407999,,4.5,397,359,五一广场/古田路,95,26.074543,119.310081,鼓楼区五一中路正大广场4楼,4,"5310,5301,4277,4282,",有停车位,单人午餐359元，单人午餐379元，单人晚餐399元，单人晚餐419元;,周一至周日 11:30-14:30 18:00-22:00,0591-63110879,70463,,,False,0,499,70463,True,False
美德园中西自助餐厅,3278783,综合自助,,0,,4.2,22,27,五一广场/古田路,95,26.073705,119.303507,鼓楼区八一七中路103号顺丰楼4层（福州大饭店西侧）,,"5301,4282,4277,5307,",,单人午/晚餐27元;,周一至周日 11:00-14:00 17:30-20:00,0591-88306161,70169,美德园餐厅面积千余平方米，同时容纳600人就餐，餐区分为自助餐区、宴会餐区、豪华包厢区、西点特供区，是一个多功能的中西结合的时尚餐厅，来自台湾的健康理念，打造福州地区特色餐饮名店,,False,0,191,70169,True,False
凡塔斯牛排餐厅(宝龙店),1875399,牛排,凡塔斯牛排,237945,http://p1.meituan.net/poi/7d673b3690f39ec5e430e0dc552f73b4155909.png,3.6,63,82,宝龙城市广场,97,26.061059,119.291919,台江区工业路193号宝龙城市广场B1层,-1,"5302,5311,",,单人餐82元起，双人餐158元;,周一至周日 10:30-21:30,0591-87866388,66925,“凡塔斯”LAS VENTAS，一个充满传奇色彩，代表勇敢和荣耀，充溢着地中海浪漫风情的 响亮名称。其富含多重意蕴、积淀丰富的精神涵义，都赋予了“凡塔斯”牛排深刻而广阔的文化内涵。作为“凡塔斯”主营的特色产品，牛排的烹饪技艺不仅得益于西班牙厨艺名师的真谛传导——将西欧的饮食文化融入产品理念中，从食物出发，以美味动人。为品味卓越的都市人群缔造富有西班牙特色的美味情缘。凡塔斯与牛排的渊源始于2006年1月，彼时**家门店开张。经营之初，秉持“与客人分享、从不计较”的理念，数年来获得众多新老顾客的好评，好口味、好口碑迅速传开，客 人从此络绎不绝。为更多的美食爱好者带去全新的体验和卓越的享受。“美味的食物，用心的服务，超值的享受”是凡塔斯经营的不二法门。随着品牌名气的不断提高，市场影响力不 断扩大，凡塔斯在市场的占有率也跟着相应地增长。在福建区域形成自己的品牌规模，拥有一批忠实的消费群。 未来，我们将致力于成为中国优秀的餐饮企业连锁品牌，将凡塔斯开向全国，让更多的人分享由凡塔斯牛排带来的幸福体验！,,False,0,42,66925,True,False
香帝西饼(胜利路店),834712,蛋糕,香帝西饼,1163652,,4.2,10,8.8,长乐市中心城区,2954,25.961282,119.522473,长乐市吴航街道胜利路161号店、163号店、165号店,,,,,周一至周日 07:00-23:00,0591-28821979,66584,福建香帝食品有限公司创立于1994年，位于福建省侨乡长乐市、历经18年的发展，已发展为长乐区域烘焙行业品牌与龙头企业。香帝公司现拥有月饼、蛋糕、面包、西点、干点五大类完整的食品生产体系，生产品种多达三百多款。香帝公司目前在长乐市拥有1家中央生产基地，12家连锁门店，产品供应肯德基、上岛咖啡、邮政速递、星级酒店、银行系统等高端品牌客户。香帝公司一向注重产品质量，精选优质新鲜原料，烘焙中不添加食品防腐剂，并严格按照质量管理体系要求，从上游供应商到生产、储运至销售服务进行细致、周密品质管理，确保产品优质安全，实现每天向门店提供的都是新鲜美食。香帝公司在技术研发、产品质量、品牌建设、市场占有率方面均保持区域行业市场的领先地位，香帝公司两度荣获“全国优秀饼店”称号及2007-2008、2009-2010年度“福州市守合同重信用”企业称号，香帝已成为“福州市知名商标”。,,False,1,71,66584,False,False
凡塔斯牛排餐厅(三坊七巷店),3302756,牛排,凡塔斯牛排,237945,http://p1.meituan.net/poi/7d673b3690f39ec5e430e0dc552f73b4155909.png,3.6,63,82,东街口/三坊七巷,95,26.085504,119.296542,鼓楼区杨桥路中闽大厦c座二层（南后街入口处）,,"4286,4282,",免费停车,单人餐82元起，双人餐158元;,周一至周日 10:30-21:30,0591-87662697,65528,“凡塔斯”LAS VENTAS，一个充满传奇色彩，代表勇敢和荣耀，充溢着地中海浪漫风情的 响亮名称。其富含多重意蕴、积淀丰富的精神涵义，都赋予了“凡塔斯”牛排深刻而广阔的文化内涵。作为“凡塔斯”主营的特色产品，牛排的烹饪技艺不仅得益于西班牙厨艺名师的真谛传导——将西欧的饮食文化融入产品理念中，从食物出发，以美味动人。为品味卓越的都市人群缔造富有西班牙特色的美味情缘。凡塔斯与牛排的渊源始于2006年1月，彼时**家门店开张。经营之初，秉持“与客人分享、从不计较”的理念，数年来获得众多新老顾客的好评，好口味、好口碑迅速传开，客 人从此络绎不绝。为更多的美食爱好者带去全新的体验和卓越的享受。“美味的食物，用心的服务，超值的享受”是凡塔斯经营的不二法门。随着品牌名气的不断提高，市场影响力不 断扩大，凡塔斯在市场的占有率也跟着相应地增长。在福建区域形成自己的品牌规模，拥有一批忠实的消费群。 未来，我们将致力于成为中国优秀的餐饮企业连锁品牌，将凡塔斯开向全国，让更多的人分享由凡塔斯牛排带来的幸福体验！,,False,0,44,65528,True,False
V-ONE | 西雅图海鲜自助轻姿造(王府井店),163094744,海鲜自助,,0,,4,176,158,东街口,95,26.091712,119.305773,鼓楼区五四路128号王府井百货6楼,6,"4286,",,单人午餐158元，单人晚餐188元;,周一至周日 11:30-14:00 17:30-21:30,0591-87519856,64804,,,False,0,676,64804,True,False
